Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
ARNOTT GARDENS,18/08/2008,11:00,A,3,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
BABERTON MAINS ROW,18/08/2008,11:20,A,3,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
CARRICK KNOWE PLACE,18/08/2008,12:25,A,3,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
CLERMISTON GREEN,18/08/2008,13:00,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
COLINTON MAINS GROVE,18/08/2008,09:00,C,3,2,1,1,2,2,1,1,0,1,1,1,0,1,0,0,0,1,0
CORSTORPHINE HILL AVENUE,18/08/2008,09:10,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
FEATHERHALL CRESCENT SOUTH,18/08/2008,09:15,B,3,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
HILLPARK COURT,18/08/2008,09:20,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
INCHKEITH AVENUE,18/08/2008,09:30,B,3,2,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0
LONGSTONE VIEW,18/08/2008,09:40,A,3,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
MARCHBANK GARDENS,18/08/2008,09:45,B,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
MEARENSIDE,18/08/2008,09:50,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
NORTH BUGHTLIN BRAE,18/08/2008,10:00,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
OXGANGS MEDWAY,18/08/2008,10:20,B,3,1,1,1,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0
PARKHEAD GARDENS,18/08/2008,20:30,B,3,1,1,1,2,3,1,0,0,1,0,1,0,1,0,0,0,0,0
RANNOCH PLACE,18/08/2008,11:00,B,3,1,1,1,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0
